text,label,source,notes
"Backend Engineer (Remote, Africa). Flutterwave is hiring senior Python engineers. 5+ years Python experience. FastAPI or Django required. Experience with high-throughput payment systems preferred. Competitive salary in USD. Apply via lever.co/flutterwave. Process: recruiter screen → technical → system design → offer.",0,company_website,legit_fintech_nigeria
"Nigerian Army recruitment: Selected candidates for the 86RRI must submit NIN, BVN and next of kin bank details to this number on WhatsApp to confirm their shortlisting within 24 hours.",1,whatsapp,phishing_identity
"Access Bank Graduate Trainee (confirmed offer): Congratulations! Please submit your BVN, NIN, account number and passport data page to this email to complete your onboarding. Resume date: Monday.",1,email,phishing_identity
"Plumber, Port Harcourt: Construction company recruiting experienced plumbers for commercial building project. Minimum 5 years experience with both residential and commercial plumbing. Daily pay: ₦8,000-₦12,000 depending on experience. Interview at our Rumuola office. Bring your tools.",0,facebook,legit_informal_trade
"CBN Recruitment 2024: You have been selected. To receive your appointment letter, submit your BVN, NIN, bank account and a clear photo of your international passport. Reply to this email urgently.",1,email,phishing_identity
"Customer Service Representative, GTBank, Lagos. B.Sc/HND in any discipline. Minimum 2 years banking or customer service experience. Excellent communication skills required. Salary: ₦180,000-₦220,000 per month plus benefits. Apply via careers.gtbank.com. Shortlisted candidates will be contacted for interviews within 2 weeks.",0,company_website,legit_banking_nigeria
Transcription job: Listen to audio and type what you hear. Earn $0.50 per minute transcribed. Daily potential: $200. Pay $25 platform access fee to receive your first audio assignment. No experience needed.,1,email,advance_fee
"Alibaba/AliExpress product reviewer. Receive products virtually, give 5-star reviews, keep commission. Earn $80 per product reviewed. Minimum task wallet balance: $200 USDT. WhatsApp: +1 437 xxx xxxx",1,whatsapp,task_scam
"Promo job: Answer 5 questions about our bank and earn ₦50,000. Question 1: What is your BVN? Question 2: What is your ATM PIN? Question 3: What is your online banking password? Submit below.",1,facebook,phishing_credential
"SURVEY SPECIALIST: Complete online surveys for US companies. Earn $50-$100 per survey. Minimum payout: $200. Activate your account with $20 to receive survey invitations. 100% legitimate, 100% remote.",1,email,advance_fee
"Supermarket Cashier, Shoprite (Ikeja City Mall): HND/OND in Accounting or related. 1+ year retail cashier experience. Honest, detail-oriented. Salary: ₦80,000/month + monthly incentive. Apply in person at the mall's HR office with updated CV and 2 passport photographs. Monday to Friday only.",0,newspaper,legit_retail_nigeria
"Matomy/Longrich representative: Sell health and beauty products. Registration: ₦12,000. Earn 25% on personal sales plus 10% on every person you recruit. Top earners make ₦500,000 monthly.",1,facebook,mlm
"Compliance Officer, Stanbic IBTC Bank, Abuja. LLB or B.Sc Law/Finance. Minimum 3 years banking compliance experience. Knowledge of CBN regulations and AML/CFT requirements essential. Competitive banking sector package. Apply via stanbicibtc.com/careers.",0,linkedin,legit_banking_nigeria
👉 Earn $500 daily from home 👈 Simple online tasks ✅ No experience needed ✅ No interview ✅ Paid DAILY ✅ Unlimited slots ✅ Message me RIGHT NOW on WhatsApp!! +234 810 xxx xxxx 🙏💰💰,1,facebook,fake_remote_emoji_heavy
"Deceased estate fund transfer assistant: Our law firm represents the estate of a late oil magnate. We need a trustworthy Nigerian to assist transfer $4.5M. Your commission: 20% ($900,000). Confidential. Reply.",1,email,419_advance_fee
"Brand Manager, Nigerian Breweries Plc (Heineken), Lagos. B.Sc in Marketing or Business. 4-6 years FMCG brand management experience. Proven track record of driving brand KPIs. Salary negotiable, competitive with industry. Send updated CV and cover letter to nbrecruitment@heineken.com.",0,company_website,legit_fmcg_nigeria
"Finance Manager, Nestlé West Africa, Accra or Lagos. ACCA/CIMA/ACA qualified. 7+ years finance experience in FMCG. Strong IFRS and management accounting skills. SAP experience preferred. Regional competitive package. Apply at nestle.com/jobs. Formal HR process and panel interviews.",0,linkedin,legit_fmcg_westafrica
"WRITING JOB: Write short articles for our blog network. Earn ₦5,000 per 500-word article. No experience required. Pay ₦4,000 training and access fee to receive your first 3 article briefs.",1,whatsapp,advance_fee
"Procurement Officer, Total Energies Nigeria, Port Harcourt. B.Sc Supply Chain, Engineering or Business. 3+ years oil and gas procurement experience. SAP MM module knowledge required. Competitive oil and gas industry remuneration. Applications via totalenergies.com/careers.",0,company_website,legit_oilandgas_nigeria
"Senior Software Engineer — Lagos/Remote. Well-funded startup. Competitive package. Please note our standard HR policy requires a refundable ₦35,000 integrity bond before your offer letter is issued.",1,email,advance_fee_professional_looking
"Remote Business Development Executive. MNC seeks experienced BDE to develop African markets. Salary: $8,000/month. 5 years experience. MUST pay $200 background check fee via Western Union before start date.",1,linkedin,advance_fee_professional_looking
"Keke NAPEP/Tricycle driver, Lagos (Lekki axis): Transport company has 20 slots for professional tricycle drivers. Valid Lagos State Tricycle licence required. Salary: ₦70,000 monthly guarantee + 30% of daily surplus. Interview at our Ajah depot. Bring your licence.",0,facebook,legit_informal_transport
"Become a secret hotel inspector for a global hospitality group. Earn $3,000 per hotel evaluated. Travel expenses covered. Accommodation free. Training fee: $250 to receive your inspection certification.",1,email,advance_fee
"We are looking for Freelance Data Collectors in all 36 states. Earn ₦120,000 monthly. Pay ₦6,000 registration and ID card fee. Work starts immediately after payment. Call 08022223333.",1,facebook,advance_fee
"Cryptocurrency arbitrage trader: Buy low on one exchange, sell high on another. We provide the signals, you make the trades. Starting capital: ₦500,000. Expected daily profit: ₦100,000. 100% guaranteed.",1,whatsapp,investment_scam
"Nigerian Police Force recruitment: Congratulations on your aptitude test result. To process your medical examination, pay ₦8,500 to our coordinating officer's account. Details attached. Urgent.",1,email,govt_impersonation
"Network marketing superstar position: Our wellness products sell themselves. Pay ₦18,000 for your starter kit. Recruit 3 people and earn ₦15,000 bonus. 7 levels of commission. Financial freedom awaits.",1,instagram,mlm
"INVESTMENT OPPORTUNITY: Turn ₦50,000 into ₦200,000 in 7 days. Join our investment platform used by over 100,000 Nigerians. Slots limited. DM for proof of payment from existing members. 0% risk.",1,instagram,ponzi_scheme
"NLNG/Seplat Scholarship Application: To complete your scholarship application we require your BVN, NIN, bank account details and next of kin information. Submit via the link below within 48 hours.",1,email,phishing_identity
"Social Media Manager (Remote, Nigeria). Growing fashion brand needs a social media manager. Must have 2+ years experience growing Instagram and TikTok accounts. Salary: ₦150,000/month + content budget. Send portfolio and CV to socialmedia@[brand].com. One-week paid trial before full contract.",0,instagram,legit_social_media
We are hiring online assistants to complete Amazon product boosting tasks. Each task pays $25-$50. Complete 15 tasks per day. Fund your task wallet with a minimum of $100 USDT to begin. Telegram: @amazontasks_ng,1,telegram,task_scam
"Earn ₦150,000 monthly testing mobile apps for tech companies. Requirements: Android or iPhone. No skills needed. Tester registration: ₦6,500 non-refundable. DM us after payment to get your first app.",1,whatsapp,advance_fee_tech
YOUTUBE VIEW BOOSTER: Subscribe to channels and watch videos. Earn $10 per 10 videos watched. Daily cap: $200. Deposit $50 USDT to unlock your daily task limit. This is 100% legitimate.,1,telegram,task_scam
"DUBAI HOUSEMAID/COOK positions available. Salary: AED 2,500/month. Air ticket + visa + accommodation provided. Kindly pay ₦180,000 agency fee to begin documentation. WhatsApp agent: 08066660000.",1,whatsapp,visa_scam
"DATA ANALYST (work from home). Zero experience required. We train you. Earn ₦500,000 monthly. Must have Android or iPhone. Must be willing to learn. Must be serious. Not for lazy people. DM now.",1,instagram,fake_remote_vague
"NYSC Redeployment Agent: Help corps members get redeployed to their preferred states. Earn ₦15,000 per successful case. Pay ₦10,000 training fee to our coordinator first. Serious applicants only.",1,telegram,advance_fee_impersonation
"Package receiving and forwarding specialist: Items are purchased online and delivered to you. You inspect, repack, and forward via DHL/FedEx. Earn $75 per package. Max 3 packages per week.",1,email,reshipping
"Content Writer (Part-time, Remote). African news publication seeks contract content writers covering tech, business and policy. Pay: $0.10/word ($200-$500 per article). Requirements: published clips, strong research skills, ability to meet deadlines. Email 3 clips and a short pitch to editorial@[publication].com.",0,company_website,legit_remote_media
"Join our amazing team and earn unlimited income! Buy your starter pack for ₦25,000. Sell to 5 friends and earn ₦10,000 per referral. Our top earners make ₦2,000,000 monthly. Join the movement!",1,facebook,mlm
"Herbalife independent distributor position: No salary cap. Earn on personal sales and downline commissions. Buy in at ₦45,000 for your business kit. Work your own hours. Be your own boss.",1,whatsapp,mlm
TikTok follower booster job: Follow accounts and like videos. Earn $5 per completed set. Daily earning potential: $150-$300. Send $30 USDT to activate your booster account. Start today.,1,telegram,task_scam
"Join our business opportunity! ₦15,000 gets you into our system. Refer 2 people and earn ₦8,000. They refer 2 each — you earn more. Simple mathematics = financial freedom. This is NOT a pyramid scheme!",1,whatsapp,mlm_denial
"Nanny/Housekeeper, Ikoyi Lagos: Professional family seeks full-time live-in nanny for 2 children (ages 3 and 6). English-speaking, trustworthy, experienced with young children. Monthly salary: ₦60,000 + free accommodation and feeding. Contact Mrs. Okafor: 08177778888. References required.",0,newspaper,legit_domestic
"LAZADA/SHOPEE booster agent wanted. Help sellers boost their ratings. You will be assigned products to rate 5 stars. Each completed set pays ₦3,500. Pay ₦2,000 membership fee to join.",1,whatsapp,task_scam
"Medical Officer, Lagos University Teaching Hospital (LUTH), Lagos. MBBS required. Minimum 2 years post-NYSC clinical experience. Valid MDCN licence. Monthly salary per CONMESS scale. Application via the hospital HR portal or hand-delivered to the Chief Medical Director's office.",0,newspaper,legit_hospital_nigeria
"Experienced cook/caterer, Abuja: Reputable event catering company seeks a head cook with experience in continental and Nigerian cuisine. Minimum 5 years experience. Salary: ₦120,000-₦180,000/month + tips. Practical cooking test will be conducted. Call Hajiya Fatima: 08033334444",0,newspaper,legit_informal_catering
"Part-time hotel rating job: Rate hotels on Booking.com and Tripadvisor. ₦4,500 per set of 10 reviews. Activate your account with ₦6,000 wallet top-up. 500 slots available nationwide.",1,facebook,task_scam
"Driver (Uber/Bolt partner), Lagos: Car hire company seeks professional drivers for their ride-hailing fleet. Must have valid Lagos driver's licence and 3+ years driving experience in Lagos. Earn 70% of all fares. Car provided. Weekly payment. Interview at our Surulere office. Bring guarantors.",0,facebook,legit_informal_driving
"NAFDAC inspection officer — casual: To begin your deployment, send your BVN, NIN, date of birth, and the name on your bank account to confirm identity. Your allowance of ₦85,000/month starts next week.",1,whatsapp,phishing_identity
"Shell Nigeria is wrapping private cars with its logo for a marketing campaign. Earn ₦80,000 per month for 6 months. Interested? Pay ₦5,000 coordination fee and send your vehicle registration. Call 08088887777.",1,whatsapp,car_wrap_scam
"Software Engineer, Andela (Remote, African talent). 4+ years full-stack development experience. Strong knowledge of React, Node.js, PostgreSQL. Excellent English communication required. Salary: $30,000-$50,000/year USD. Apply at andela.com/talent. Rigorous technical assessment and panel interview.",0,company_website,legit_tech_africa
CRYPTO ACCOUNT MANAGER needed. Manage trading accounts for HNI clients. Earn 30% monthly commission. Minimum capital: $500 USDT. Profits guaranteed. 100% safe. Zero risk. Telegram: @cryptofx_ng,1,telegram,investment_scam
"Supply Chain Analyst, Procter and Gamble Nigeria, Lagos. B.Sc Engineering, Supply Chain or Business. Strong analytical and Excel skills. Fresh graduates with strong academic records are encouraged to apply. Structured graduate programme with rotational assignments. Apply at pg.com/en_NG/careers.",0,company_website,legit_fmcg_nigeria
"Senior Accountant, Dangote Industries Ltd, Lagos. Requirements: ACA/ACCA qualified. Minimum 5 years experience in a manufacturing environment. Strong IFRS knowledge. Proficient in SAP. Salary: ₦600,000-₦800,000/month. Send CV to careers@dangote-group.com. Only shortlisted candidates contacted.",0,company_website,legit_manufacturing_nigeria
"URGENT HIRING: Online Data Entry Clerks needed. Earn ₦80,000 weekly. No experience. No qualification. Work from home at your convenience. Pay ₦3,500 registration fee to get started immediately. WhatsApp: 08111234567",1,whatsapp,advance_fee
"Sales Executive, Jumia Nigeria, Lagos. OND minimum. 1-2 years field sales experience. Must be target-driven and resilient. Monthly base salary: ₦100,000 + uncapped commission structure. Apply at jumia.com.ng/careers or send CV to salesrecruitment@jumia.com.",0,company_website,legit_ecommerce_nigeria
"Teaching position, King's College Lagos: BSc/BA minimum in relevant subject. PGDE or NCE preferred. Passionate about secondary education. Salary: ₦180,000-₦250,000/month based on qualifications and experience. Submit CV, credentials and a teaching philosophy statement to hr@kingscollegelagos.edu.ng. Interview for shortlisted candidates.",0,newspaper,legit_education_nigeria
"Economic and Financial Crimes Commission (EFCC) Lagos: We are recruiting 200 intelligence officers. Selected applicants must pay ₦12,000 clearance fee and submit BVN within 24 hours to complete screening.",1,email,govt_impersonation
"WhatsApp-based Business Manager (Remote). Reputable Lagos real estate company uses WhatsApp to manage client inquiries. We need a dedicated agent to manage our WhatsApp Business account, respond to property inquiries and book site visits. Salary: ₦120,000/month. CV to hr@[company].com. Formal interview via Zoom.",0,linkedin,legit_whatsapp_context
"Entry-level Data Entry Clerk, Abuja: Federal government research institute requires data entry clerks. OND minimum. Typing speed minimum 40 WPM. Salary: ₦65,000/month. Contract duration: 6 months. Applications submitted in person to the institute's administrative office only. No fees required at any stage of recruitment.",0,newspaper,legit_data_entry
"HEINEKEN/PEPSI CAR WRAP: We will pay you ₦120,000 monthly to display our sticker on your car. Send vehicle details and pay ₦15,000 refundable deposit to process your kit. WhatsApp our agent now.",1,whatsapp,car_wrap_scam
"Qatar World Cup Legacy: Join our sports facilities management team in Doha. Salary: $4,000/month. All expenses paid. Pay ₦120,000 processing fee to our Lagos agent to start your visa documentation.",1,facebook,visa_scam
"Brand Rep for popular lifestyle brand: Sell our products on social media. Keep 40% commission on each sale. Buy your starter inventory kit for ₦20,000 to begin. Free delivery anywhere in Nigeria.",1,instagram,mlm_advance_fee
"UK NURSING JOBS: NHS-registered agency is recruiting Nigerian nurses and healthcare assistants. Salary: £28,000-£35,000/year. Visa sponsorship available. Pay ₦350,000 to begin documentation and licensing.",1,facebook,visa_scam_healthcare
"BEADS/FASHION JEWELRY maker: Work from home. We supply materials, you assemble, we buy back at ₦5,000 per unit. Material kit cost: ₦15,000 refundable after first sale. Openings: Nationwide. DM us.",1,facebook,advance_fee_craft_scam
"P2P TRADING AGENT: Help our overseas clients buy and sell USDT in Nigeria. Earn 3% per transaction. No capital needed. Just your bank account. Average monthly earning: ₦800,000.",1,telegram,money_mule
"Federal Civil Service Commission: The Commission invites applications for 3,500 vacancies. Selected candidates must pay ₦5,000 screening fee to FCSC Account: 1234567890 UBA. Pay before Friday.",1,email,govt_impersonation
"Security Guard, Lekki Phase 1, Lagos: Reputable estate management company requires 10 security guards. SSCE minimum. Previous security or military background preferred. Monthly salary: ₦55,000 + uniform + HMO. Interview at our Lekki office next Monday. Bring valid government-issued ID.",0,newspaper,legit_informal_security
"🔥🔥 MAKE MONEY ONLINE 🔥🔥 No experience. No degree. Work 2 hours a day. Earn ₦50,000 daily. 100% legit. Zero risk. Reply NOW and start earning TODAY. DM me or click the link below to register!!!!",1,instagram,fake_remote_emoji_heavy
ONLINE PROOFREADER: Earn $500 per week proofreading documents from home. No qualifications required. No experience necessary. Our clients pay $50 per document. Register at our website and start today.,1,email,fake_remote
Copy trading manager: Our expert traders generate 40% monthly returns. Your job is to onboard investors. Earn 15% commission per client. Your own demo account requires $100 activation.,1,whatsapp,investment_scam
"NFT minting agent: Mint NFTs for our clients and earn 25% commission. Start-up cost: $150 USDT to cover gas fees. Earn $500-$1,000 weekly. Work from anywhere. WhatsApp us today.",1,whatsapp,investment_scam
"Part-time TASK WORKERS needed. Rate products on our e-commerce platform. Earn ₦8,000-₦15,000 per task set. Minimum payout: ₦20,000. Recharge your task credit wallet with ₦5,000 to start. WhatsApp: 09055556666",1,whatsapp,task_scam
Remote Customer Care Agent needed for UK company. Earn £200 per day. No experience. Training provided. Pay £30 starter kit fee via PayPal or bank transfer to receive your login and first assignment.,1,whatsapp,advance_fee
"JAMB/WAEC Regularisation Job: Help students regularize their results. Earn ₦5,000 per student. Training fee: ₦8,000 one-time payment. Reply YES to get started. WhatsApp only.",1,whatsapp,advance_fee
"Digital Marketing Executive, Konga.com, Lagos. B.Sc Marketing or related. 2 years digital marketing experience. Proficient in Google Analytics, Facebook Ads Manager, SEO tools. Salary: ₦150,000-₦200,000/month. Apply to digital.careers@konga.com with portfolio of campaigns managed.",0,linkedin,legit_ecommerce_nigeria
Binary options trading representative. No experience needed — our AI bot does the trading. Earn 15% daily ROI. Minimum deposit: $200. Withdraw profits anytime. 100% insured. DM us.,1,instagram,investment_scam
"Digital Gold Investment Opportunity: Invest ₦50,000, earn ₦150,000 in 2 weeks. Verified and registered with CAC. Over 5,000 Nigerians already earning. Withdraw anytime. Slots closing soon.",1,facebook,ponzi_scheme
"Last-mile delivery specialist (remote): Coordinate package handoffs in Lagos/Abuja. No driving required — just receive parcels at home and arrange pickup with our courier. ₦25,000 per package.",1,telegram,reshipping
"Online Work: Earn $1,000 daily from home. Simple copy and paste tasks. No experience. No interview. Start immediately. Only 20 slots available today. Don't miss this life-changing opportunity!!!",1,facebook,fake_remote
"GHANA: Online Sales Agent needed urgently. Work from home selling our products on WhatsApp and social media. No stocking required. Earn GH₵5,000-GH₵15,000 weekly. Pay GH₵200 for product catalogue and training.",1,whatsapp,advance_fee_ghana
"Saudi Arabia caregiver jobs available for Nigerians. Earn SAR 1,800/month. Employer covers food and accommodation. Pay ₦80,000 for your medical, visa, and flight to our agent. DM now.",1,whatsapp,visa_scam
